customer_id,first_name,last_name,email,phone,city,state,country,registration_date,customer_segment
CUST000001,Jesse,Hoffman,jesse.hoffman@interia.pl,+48 694 026 542,Seattle,SE,USA,2025-10-16,Basic
CUST000002,Paweł,James,pawel.james@gmail.com,+48 32 078 16 18,Florida,FL,USA,2025-07-15,Premium
CUST000003,Aurelia,Bush-Marudo,aurelia.Bush.Marudo@hotmail.com,001-341-431-6475x25534,New Jersey,NJ,USA,2024-03-15,Basic
CUST000004,Jeremi,Cohen,jeremi.cohen@gmail.com,564-613-953,Austin,CA,USA,2025-09-03,Basic
CUST000005,Olgierd,Osborn,olgierd.osborn@hotmail.com,530 122 691,Washington,WA,USA,2024-08-21,Premium
CUST000008,Amber,George,amber.george@gmail.pl,(443)903-9117x182,,NJ,USA,2024-05-28,Standard
CUST000007,Bruno,Marquez,bruno.marquez.2@hotmail.com,+48 538 713 315,Austin,MI,USA,2025-01-20,Premium
CUST000009,Brianna,Jones,brianna.jones@gmail.com,231 323 233,Texas,TX,USA,2025-06-12,Basic
CUST000010,Rafał,Davis,rafał.davis@gmail.com,+48 517 010 651,Illinois,IL,USA,2024-04-05,Premium
CUST010011,Robert,Bieniek,Robert.Bieniek@onet.pl,690 850 876,Krakow,Slaskie,Poland,2024-01-26,Premium
CUST010012,Karol,Lotek,Karol.Lotek@onet.pl,903 624 343,Austin,CA,USA,2024-01-26,Premium
CUST010013,Adriana,Endurso,robAdrianaert.Endurso@onet.pl,690 850 876,Pennsylvania,CA,USA,2024-01-26,Premium
CUST010014,Zbyszek,Zbigniew,Zbyszek.Zbigniew@onet.pl,315 850 876,Texas,TX,USA,2024-01-26,Standard
CUST010015,Arnold,Brozek,Arnold.Brozek@onet.pl,538 850 876,Austin,CA,USA,2024-01-26,Premium
CUST020001,Dorota,Nowak,dorota.nowak@interia.pl,+48 571 854 204,Detroit,MI,USA,2023-10-14,Basic
CUST020002,Agata,Kaminski,agata.kaminski@onet.pl,+48 513 674 303,Detroit,MI,USA,2024-04-15,Premium
CUST020003,Adam,Dabrowski,adam.dabrowski@hotmail.com,+48 579 320 881,Seattle,WA,USA,2023-02-13,Basic
CUST020004,Lukasz,Adamczyk,lukasz.adamczyk@interia.pl,+48 70 649 25 58,Chicago,IL,USA,2025-05-27,Premium
CUST020005,Witold,Jankowski,witold.jankowski@yahoo.com,+48 616 891 396,Chicago,IL,USA,2023-02-13,Premium
CUST020006,Renata,Dudek,renata.dudek@wp.pl,+48 607 786 373,Chicago,IL,USA,2025-11-06,Standard
CUST020007,Filip,Sadowski,filip.sadowski@hotmail.com,+48 785 324 801,Seattle,WA,USA,2023-04-27,Basic
CUST020008,Krzysztof,Wieczorek,krzysztof.wieczorek@interia.pl,+48 790 997 835,Seattle,WA,USA,2023-11-16,Enterprise
CUST020009,Renata,Wozniak,renata.wozniak@interia.pl,+48 787 651 369,Las Vegas,NV,USA,2024-10-13,Premium
CUST020010,Igor,Szymanski,igor.szymanski@outlook.com,+48 524 981 212,Phoenix,AZ,USA,2025-03-26,Enterprise
CUST020011,Zygmunt,Kowalczyk,zygmunt.kowalczyk@hotmail.com,+48 739 641 357,Detroit,MI,USA,2023-11-24,Basic
CUST020012,Tomasz,Grabowski,tomasz.grabowski@o2.pl,+48 722 261 564,New York,NY,USA,2025-12-09,Standard
CUST020013,Sebastian,Lewandowski,sebastian.lewandowski@interia.pl,+48 76 723 35 29,Denver,CO,USA,2023-09-25,Basic
CUST020014,Zygmunt,Michalski,zygmunt.michalski@outlook.com,+48 685 999 951,Austin,TX,USA,2023-01-08,Basic
CUST020015,Dagmara,Walczak,dagmara.walczak@yahoo.com,+48 80 884 26 26,Portland,OR,USA,2025-03-09,Enterprise
CUST020016,Hanna,Jankowski,hanna.jankowski@interia.pl,+48 691 548 629,Atlanta,GA,USA,2023-04-08,Basic
CUST020017,Laura,Nowak,laura.nowak@onet.pl,+48 503 172 824,Los Angeles,CA,USA,2023-02-02,Premium
CUST020018,Cezary,Szewczyk,cezary.szewczyk@onet.pl,+48 748 319 652,Phoenix,AZ,USA,2025-10-19,Enterprise
CUST020019,Izabela,Chmielewski,izabela.chmielewski@hotmail.com,+48 549 774 541,Denver,CO,USA,2024-07-15,Basic
CUST020020,Dawid,Wojcik,dawid.wojcik@hotmail.com,+48 25 354 34 34,Detroit,MI,USA,2024-03-14,Standard
